City,State,UGB,1 unit,2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 to 49 units,50 or more units,Other,Total Response,Median Housing Costs,MOE Housing Costs
New York City,New York,No,559901,460326,318507,233665,230900,565635,1143792,6727,3519453,1494,9
Los Angeles,California,No,644887,44871,94650,130743,145756,197767,233940,10072,1502686,1627,11
Chicago,Illinois,No,366981,179781,182797,141270,50446,75983,226903,3005,1227166,1230,11
Houston,Texas,No,477657,14614,40028,77428,123997,76242,159956,6823,976745,1045,14
Phoenix,Arizona,No,402642,8298,30950,38066,45131,24814,57333,20610,627844,1097,16
Philadelphia,Pennsylvania,No,460752,54559,43168,26565,15259,19986,67869,688,688846,974,14
San Antonio,Texas,No,359364,10668,26050,44857,52328,25538,29435,8520,556760,970,15
San Diego,California,No,300339,9517,29902,54437,44847,35674,74627,5553,554896,1811,26
Dallas,Texas,No,270573,8498,26308,58281,75290,58606,86116,6935,590607,1085,15
San Jose,California,Yes,215525,6311,15966,17004,18438,15509,41368,11685,341806,2288,37
Austin,Texas,No,216844,17019,17841,26665,48292,32519,60264,5632,425076,1407,19
Jacksonville,Florida,No,247561,5948,15805,25225,32048,24200,20251,17750,388788,1059,18
Fort Worth,Texas,No,232277,6019,11207,21634,27980,12369,19471,6115,337072,1120,22
Columbus,Ohio,No,219250,14766,35600,52090,33527,17205,22733,2137,397308,989,14
San Francisco,California,No,122885,43720,44173,37458,34810,41569,76115,748,401478,2054,56
Charlotte,North Carolina,No,233950,5083,9778,25235,38432,25191,26353,3422,367444,1178,13
Indianapolis,Indiana,No,263137,4416,22729,40352,24355,10886,17114,4113,387102,903,16
Seattle,Washington,Yes,166509,6979,13113,19884,25809,42856,84047,1382,360579,1814,33
Denver,Colorado,No,168483,9583,10392,14667,26335,34350,64830,2244,330884,1388,25
Washington,District of Columbia,No,113039,10221,24071,26455,29639,23570,91908,676,319579,1695,31
Boston,Massachusetts,No,53261,38604,73017,31875,23375,28143,50842,355,299472,1752,41
El Paso,Texas,No,175880,10078,9958,19039,13942,9301,6527,7531,252256,820,29
Detroit,Michigan,No,262247,20687,9672,9858,9584,15011,33967,1837,362863,696,14
Nashville,Tennessee,No,185298,8883,10289,23190,26967,16625,30554,5979,307785,1142,23
Portland,Oregon,Yes,168531,9395,16244,14364,18281,22350,41154,4359,294678,1424,24
Memphis,Tennessee,No,193563,7510,22278,31632,17238,7296,18027,2761,300305,870,14
Oklahoma City,Oklahoma,No,196303,4430,9856,19900,20087,5684,12133,8747,277140,910,17
Las Vegas,Nevada,No,172944,2606,18170,22939,13874,8836,15922,3277,258568,1123,18
Louisville,Kentucky,No,190376,5950,25777,17133,15914,9384,9812,4729,279075,910,19
Baltimore,Maryland,No,193203,14652,17225,14079,12609,8752,32681,432,293633,1091,20
Milwaukee,Wisconsin,No,117236,54241,16786,16968,10864,17332,25164,1096,259687,873,12
Albuquerque,New Mexico,No,165700,5404,20094,11070,10830,10057,16773,8753,248681,947,20
Tucson,Arizona,No,148388,7798,10707,12478,17219,15000,13508,14322,239420,839,18
Fresno,California,No,117023,5970,18640,16914,8487,4408,8161,3427,183030,1084,23
Mesa,Arizona,No,130250,1358,10130,15938,14614,5856,9891,29363,217400,1063,29
Sacramento,California,No,129696,3828,11710,14433,8531,7960,15906,2934,194998,1360,30
Atlanta,Georgia,No,108367,5872,8670,20176,21848,16538,72707,1255,255433,1292,29
Kansas City,Missouri,No,154502,6471,10635,19676,14964,11287,15674,2845,236054,995,19
Colorado Springs,Colorado,No,133316,2629,9712,10533,11901,11867,8336,3516,191810,1197,21
Miami,Florida,Yes,73241,5810,8304,14070,15966,19592,73189,858,211030,1202,35
Raleigh,North Carolina,No,125388,3614,6607,15521,24984,11948,18635,3095,209792,1178,22
Omaha,Nebraska,No,139119,2382,4317,12502,15460,11756,13147,1555,200238,1005,22
Long Beach,California,No,80254,8326,18227,19392,22273,14983,17702,2413,183570,1466,35
Virginia Beach,Virginia,Yes,136625,3514,6295,15170,7296,5580,9336,2318,186134,1423,26
Oakland,California,No,84163,11360,19384,13598,13883,21292,16791,690,181161,1690,44
Minneapolis,Minnesota,Yes,84059,15514,6623,6866,12298,21022,39998,1173,187553,1216,26
Tulsa,Oklahoma,No,125432,3322,8263,14140,17241,8514,10280,2472,189664,842,15
Arlington,Texas,No,92453,4553,5172,12447,17157,6322,4543,2374,145021,1117,29
Tampa,Florida,No,100315,5174,7881,10100,15427,9604,21389,1965,171855,1159,25
New Orleans,Louisiana,No,105408,32632,14764,9034,6844,6624,14837,1477,191620,997,27
Wichita,Kansas,No,123029,6166,7839,6605,12424,5205,7661,5544,174473,823,19
Cleveland,Ohio,No,114684,34785,12892,10172,8695,7129,24154,1431,213942,701,12
Bakersfield,California,No,93587,3241,11194,7284,3914,1811,6109,2963,130103,1243,41
Aurora,Colorado,No,86489,1448,5870,8257,15958,10426,6995,2675,138118,1375,25
Anaheim,California,No,55709,1687,10008,10238,5446,7367,14850,3497,108802,1696,42
Honolulu,Hawaii,Yes,53389,1814,4137,9795,10336,16262,57241,217,153191,1535,64
Santa Ana,California,No,45074,1082,5986,6274,7033,4427,7289,3988,81153,1582,52
Riverside,California,No,63727,1363,4716,5851,7481,2296,4807,2751,92992,1430,48
Corpus Christi,Texas,No,90641,4001,7604,12807,6174,2244,5352,3330,132153,1021,39
Lexington,Kentucky,Yes,94140,5869,6421,11315,10005,6936,6521,1481,142688,969,24
Stockton,California,No,69110,4019,6833,5795,4802,3558,6627,1184,101928,1181,41
Henderson,Nevada,No,100519,838,6362,9995,4994,2273,6695,1404,133080,1321,34
St. Paul,Minnesota,Yes,64254,8806,4816,5917,9822,9053,21274,234,124176,1077,30
St. Louis,Missouri,No,84529,27453,22497,9216,5067,7136,21029,242,177169,873,18
Cincinnati,Ohio,No,71939,14702,18024,14668,17848,8739,14806,703,161429,831,30
Pittsburgh,Pennsylvania,No,95902,11244,11240,8629,6775,7698,18252,508,160248,889,20
