ID,Rank,City,State,2010 Census,2011_Estimate,2012_Estimate,2013_Estimate,2014_Estimate,2015_Estimate,2016_Estimate,2017_Estimate,2018_Estimate
668000,10,San Jose,California,945942,969948,983322,1001253,1014418,1026099,1030359,1032136,1030119
5363000,18,Seattle,Washington,608660,623050,636495,654224,670925,688156,710510,729601,744955
4159000,25,Portland,Oregon,583776,595410,604285,609970,620647,631539,643136,648630,653115
1245000,40,Miami,Florida,399457,410673,415270,419829,429365,439404,454293,462030,470914
5182000,44,Virginia Beach,Virginia,437994,442536,445038,447732,448913,450474,451136,449962,450189
2743000,46,Minneapolis,Minnesota,382578,388022,392775,400108,407122,411150,415239,421072,425403
1571550,56,Honolulu,Hawaii,337256,343040,346868,349275,349627,351684,351883,349651,347397
2146027,60,Lexington,Kentucky,295803,301736,306075,310010,311955,316002,319738,322193,323780
2758000,63,St. Paul,Minnesota,285068,288812,291244,295045,297674,300010,303155,305255,307695
807850,284,Boulder,Colorado,97385,101115,102169,103640,105482,107793,108288,107895,107353
