ID,Rank,City,Estimated Population 2017,Estimated Population 2018,Population Difference,Percent Difference
3231900,25,Henderson,299631,310390,10759,3.6
427400,75,Gilbert,242465,248279,5814,2.4
4827000,79,Fort Worth,875456,895008,19552,2.2
636770,80,Irvine,276413,282572,6159,2.2
3251800,83,North Las Vegas,240681,245949,5268,2.2
5363000,89,Seattle,729601,744955,15354,2.1
1245000,102,Miami,462030,470914,8884,1.9
804000,103,Aurora,367255,374114,6859,1.9
3719000,117,Durham,269578,274291,4713,1.7
446000,124,Mesa,500395,508958,8563,1.7
4829000,129,Garland,238560,242507,3947,1.7
1271000,135,Tampa,386577,392890,6313,1.6
1253000,136,Orlando,281143,285713,4570,1.6
816000,137,Colorado Springs,465160,472688,7528,1.6
3260600,143,Reno,247106,250998,3892,1.6
820000,146,Denver,705439,716492,11053,1.6
455000,148,Phoenix,1634984,1660272,25288,1.5
3712000,151,Charlotte,859347,872498,13151,1.5
626000,153,Fremont,234237,237807,3570,1.5
664000,155,Sacramento,500944,508529,7585,1.5
465000,159,Scottsdale,251556,255310,3754,1.5
3240000,172,Las Vegas,635628,644644,9016,1.4
412000,174,Chandler,253600,257165,3565,1.4
4865000,177,San Antonio,1511409,1532233,20824,1.4
1235000,181,Jacksonville,891736,903889,12153,1.4
4805000,191,Austin,951750,964254,12504,1.3
1304000,198,Atlanta,491763,498044,6281,1.3
653000,204,Oakland,423869,429082,5213,1.2
3918000,205,Columbus,881763,892533,10770,1.2
603526,209,Bakersfield,379171,383579,4408,1.2
427820,214,Glendale,247899,250702,2803,1.1
2743000,229,Minneapolis,421072,425403,4331,1
3128000,232,Lincoln,284506,287401,2895,1
5548000,233,Madison,255473,258054,2581,1
5367000,237,Spokane,217028,219190,2162,1
1150000,242,Washington,695691,702455,6764,1
5116000,246,Chesapeake,240327,242634,2307,1
662000,248,Riverside,326988,330063,3075,0.9
4845000,252,Lubbock,253555,255885,2330,0.9
2507000,253,Boston,688276,694583,6307,0.9
4055000,260,Oklahoma City,643337,649021,5684,0.9
3728000,266,Greensboro,292209,294722,2513,0.9
1263000,272,St. Petersburg,262928,265098,2170,0.8
613392,273,Chula Vista,269429,271651,2222,0.8
1825000,274,Fort Wayne,265455,267633,2178,0.8
666000,275,San Diego,1414427,1425976,11549,0.8
3436000,276,Jersey City,263401,265549,2148,0.8
3755000,278,Raleigh,465524,469298,3774,0.8
3775000,281,Winston-Salem,244373,246328,1955,0.8
5167000,282,Richmond,226968,228783,1815,0.8
2758000,283,St. Paul,305255,307695,2440,0.8
477000,293,Tucson,541779,545975,4196,0.8
4841464,295,Laredo,259634,261639,2005,0.8
627000,296,Fresno,526037,530093,4056,0.8
2938000,300,Kansas City,488266,491918,3652,0.7
4159000,311,Portland,648630,653115,4485,0.7
1836003,324,Indianapolis,861890,867125,5235,0.6
675000,326,Stockton,309316,311178,1862,0.6
4837000,329,Irving,240834,242242,1408,0.6
4752006,340,Nashville,665396,669053,3657,0.5
1608830,346,Boise City,227621,228790,1169,0.5
2146027,352,Lexington,322193,323780,1587,0.5
667000,362,San Francisco,879166,883305,4139,0.5
4858016,373,Plano,286815,288061,1246,0.4
3451000,395,Newark,281014,282090,1076,0.4
4817000,405,Corpus Christi,325373,326554,1181,0.4
4835000,408,Houston,2317445,2325502,8057,0.3
3137000,421,Omaha,466774,468262,1488,0.3
3915000,422,Cincinnati,301648,302605,957,0.3
4804000,440,Arlington,397105,398112,1007,0.3
4260000,442,Philadelphia,1580221,1584138,3917,0.2
644000,452,Los Angeles,3982002,3990456,8454,0.2
602000,456,Anaheim,351301,352005,704,0.2
4819000,479,Dallas,1343087,1345047,1960,0.1
5182000,515,Virginia Beach,449962,450189,227,0.1
2148006,519,Louisville,619848,620118,270,0
3502000,525,Albuquerque,560111,560218,107,0
643000,533,Long Beach,467367,467354,-13,0
1230000,542,Hialeah,239019,238942,-77,0
4824000,545,El Paso,682938,682669,-269,0
3611000,549,Buffalo,256430,256304,-126,0
669000,560,Santa Ana,333007,332725,-282,-0.1
2255000,581,New Orleans,391538,391006,-532,-0.1
4748000,583,Memphis,651562,650618,-944,-0.1
668000,597,San Jose,1032136,1030119,-2017,-0.2
4261000,609,Pittsburgh,301720,301048,-672,-0.2
2622000,610,Detroit,674188,672662,-1526,-0.2
1714000,622,Chicago,2713067,2705994,-7073,-0.3
2079000,623,Wichita,390307,389255,-1052,-0.3
5553000,636,Milwaukee,593905,592025,-1880,-0.3
5157000,643,Norfolk,244922,244076,-846,-0.3
4075000,649,Tulsa,402119,400669,-1450,-0.4
3916000,670,Cleveland,385428,383793,-1635,-0.4
3651000,685,New York City,8438271,8398748,-39523,-0.5
3977000,714,Toledo,276618,274975,-1643,-0.6
1571550,726,Honolulu,349651,347397,-2254,-0.6
203000,749,Anchorage,294264,291538,-2726,-0.9
2205000,758,Baton Rouge,223948,221599,-2349,-1
2404000,762,Baltimore,609841,602495,-7346,-1.2
2965000,765,St. Louis,307866,302838,-5028,-1.6
