Geographic area,Area in square miles - Total area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
United States,3796742.23,87.4,37.3
Alabama,52420.07,94.4,42.9
Autauga County,604.39,91.8,37.2
Baldwin County,2027.31,114.6,65.5
Barbour County,904.52,31,13.4
Bibb County,626.17,36.8,14.4
Blount County,650.63,88.9,37
Bullock County,625.14,17.5,7.2
Butler County,777.88,27,12.8
Calhoun County,612.29,195.7,88
Chambers County,603.11,57.4,28.5
Cherokee County,599.98,46.9,29.4
Chilton County,700.8,63,27.8
Choctaw County,920.86,15.2,8
Clarke County,1252.57,20.9,10.2
Clay County,606,23.1,11.2
Cleburne County,561.01,26.7,12
Coffee County,680.49,73.6,32.9
Colbert County,622.13,91.8,43.5
Conecuh County,852.72,15.6,8.3
Coosa County,666.35,17.7,10
Covington County,1043.79,36.6,18.3
Crenshaw County,610.92,22.8,11.1
Cullman County,755.02,109.4,50.4
Dale County,562.7,89.6,40.4
Dallas County,993.8,44.8,20.6
DeKalb County,778.69,91.5,40
Elmore County,657.04,128.2,52.8
Escambia County,953.14,40.5,17.4
Etowah County,548.63,195.2,88.7
Fayette County,629.36,27.5,13.4
Franklin County,646.52,50,22.1
Geneva County,578.95,46.6,22.1
Greene County,659.94,14,7.7
Hale County,656.5,24.5,11.9
Henry County,568.31,30.8,15.8
Houston County,581.65,175.1,78.2
Jackson County,1126.77,49.4,23
Jefferson County,1123.81,592.5,270.5
Lamar County,605.46,24.1,12.2
Lauderdale County,720.99,138.8,65.6
Lawrence County,717.2,49.7,22
Lee County,615.85,230.8,102.7
Limestone County,607.19,147.8,62.5
Lowndes County,725.07,15.8,7.2
Macon County,613.21,35.2,16.8
Madison County,812.7,417.7,182.7
Marengo County,982.67,21.5,10.5
Marion County,743.57,41.5,19.9
Marshall County,623.18,164.4,71.3
Mobile County,1644.01,335.9,144.9
Monroe County,1034.42,22.5,11
Montgomery County,799.91,292.5,129.6
Morgan County,599.05,206.3,88.4
Perry County,723.88,14.7,6.6
Pickens County,890.13,22.4,10.8
Pike County,673.01,48.9,22.7
Randolph County,584.13,39.5,20.6
Russell County,647.19,82.6,38.4
St. Clair County,653.64,132.3,56.2
Shelby County,809.53,248.5,103.2
Sumter County,913.32,15.2,7.5
Talladega County,760.31,111.7,50.3
Tallapoosa County,766.25,58.1,30.9
Tuscaloosa County,1351.25,147.3,64.2
Walker County,805.19,84.7,38.9
Washington County,1088.57,16.3,7.8
Wilcox County,907.41,13.1,6.4
Winston County,631.87,39.9,22
Alaska,665384.04,1.2,0.5
Aleutians East Borough,15009.86,0.4,0.1
Aleutians West Census Area,14116.44,1.3,0.4
Anchorage Municipality,1961,171.2,66.3
Bethel Census Area,45504.21,0.4,0.1
Bristol Bay Borough,887.56,2,1.9
Denali Borough,12776.92,0.1,0.1
Dillingham Census Area,20915.21,0.3,0.1
Fairbanks North Star Borough,7443.69,13.3,5.7
Haines Borough,2725.5,1.1,0.7
Hoonah-Angoon Census Area,10914.15,0.3,0.2
Juneau City and Borough,3253.89,11.6,4.8
Kenai Peninsula Borough,24752.32,3.4,1.9
Ketchikan Gateway Borough,6653.56,2.8,1.3
Kodiak Island Borough,12021.83,2.1,0.8
Lake and Peninsula Borough,32922.5,0.1,0.1
Matanuska-Susitna Borough,25257.61,3.6,1.7
Nome Census Area,28277.62,0.4,0.2
North Slope Borough,94796.28,0.1,0
Northwest Arctic Borough,40748.94,0.2,0.1
Petersburg Census Area,5684.07,1.2,0.6
Prince of Wales-Hyder Census Area,7683.28,1.4,0.8
Sitka City and Borough,4811.43,3.1,1.4
Skagway Municipality,464.04,2.1,1.4
Southeast Fairbanks Census Area,25059.46,0.3,0.2
Valdez-Cordova Census Area,40340.17,0.3,0.2
Wade Hampton Census Area,19672.95,0.4,0.1
Wrangell City and Borough,3462.06,0.9,0.6
Yakutat City and Borough,9462.87,0.1,0.1
Yukon-Koyukuk Census Area,147804.63,0,0
Arizona,113990.3,56.3,25
Apache County,11218.44,6.4,2.9
Cochise County,6218.6,21.3,9.6
Coconino County,18661.34,7.2,3.4
Gila County,4795.43,11.3,6.9
Graham County,4641.07,8.1,2.8
Greenlee County,1848.43,4.6,2.4
La Paz County,4513.75,4.6,3.6
Maricopa County,9224.39,414.9,178.2
Mohave County,13460.65,15,8.3
Navajo County,9959.72,10.8,5.7
Pima County,9189.1,106.7,48
Pinal County,5374.23,70,29.7
Santa Cruz County,1238.11,38.3,14.6
Yavapai County,8127.94,26,13.6
Yuma County,5519.11,35.5,15.9
Arkansas,53178.55,56,25.3
Arkansas County,1033.75,19.2,9.5
Ashley County,940.53,23.6,11
Baxter County,586.71,74.9,40.7
Benton County,883.91,261.2,109.9
Boone County,601.83,62.5,28.5
Bradley County,652.92,17.7,9
Calhoun County,632.41,8.5,4.6
Carroll County,638.8,43.6,21.5
Chicot County,690.79,18.3,8.4
Clark County,882.83,26.6,12
Clay County,641.44,25.2,12.6
Cleburne County,591.92,46.9,28.6
Cleveland County,598.75,14.5,6.8
Columbia County,766.75,32.1,15.1
Conway County,566.67,38.5,17.6
Craighead County,712.67,136.4,57.3
Crawford County,604.24,104.4,44
Crittenden County,636.38,83.5,35.2
Cross County,622.31,29,12.7
Dallas County,668.11,12.2,6.5
Desha County,819.53,16.9,8.2
Drew County,835.66,22.3,10.2
Faulkner County,664.07,174.8,71.9
Franklin County,619.64,29.8,13.2
Fulton County,620.33,19.8,11
Garland County,734.62,141.7,74.6
Grant County,632.93,28.3,12.3
Greene County,579.56,72.9,31
Hempstead County,741.18,31.1,14.3
Hot Spring County,622.17,53.5,23.3
Howard County,595.31,23.4,10.6
Independence County,771.52,48,21.2
Izard County,584.02,23.6,12.5
Jackson County,641.5,28.4,12
Jefferson County,913.78,88.9,37.9
Johnson County,682.74,38.7,17.1
Lafayette County,545.08,14.5,8.2
Lawrence County,592.34,29.6,13.6
Lee County,619.5,17.3,7.2
Lincoln County,572.18,25.2,8.7
Little River County,564.77,24.7,12.1
Logan County,731.56,31.6,14.3
Lonoke County,802.84,88.7,35.3
Madison County,837.08,18.8,9
Marion County,640.32,27.9,15.7
Miller County,637.65,69.5,30.8
Mississippi County,919.81,51.6,22.7
Monroe County,621.3,13.4,7.3
Montgomery County,800.29,12.2,7.4
Nevada County,620.64,14.6,7.4
Newton County,823.19,10.1,5.7
Ouachita County,739.75,35.6,17.9
Perry County,560.53,18.9,8.9
Phillips County,727.34,31.3,14.6
Pike County,614.13,18.8,9.3
Poinsett County,763.61,32.4,14.4
Polk County,862.46,24.1,11.7
Pope County,830.78,76,31.4
Prairie County,675.61,13.4,6.9
Pulaski County,807.66,503.8,231.1
Randolph County,656.04,27.6,13.1
St. Francis County,642.51,44.5,17.2
Saline County,730.49,148,61.9
Scott County,898.07,12.6,5.8
Searcy County,668.51,12.3,7.4
Sebastian County,546.16,236.4,102.7
Sevier County,581.28,30.2,12.2
Sharp County,606.44,28.6,16.2
Stone County,609.43,20.4,11.1
Union County,1055.2,40.1,18.9
Van Buren County,724.28,24.4,14.6
Washington County,952.41,215.6,93.2
White County,1042.15,74.5,31.4
Woodruff County,594.01,12.4,6.6
Yell County,948.86,23.9,10.5
California,163694.74,239.1,87.8
Alameda County,821.33,2043.6,788.3
Alpine County,743.18,1.6,2.4
Amador County,605.96,64.1,30.3
Butte County,1677.13,134.4,58.6
Calaveras County,1036.93,44.7,27.4
Colusa County,1156.36,18.6,6.9
Contra Costa County,803.77,1465.2,559.1
Del Norte County,1229.74,28.4,11.1
El Dorado County,1786.36,106,51.6
Fresno County,6011.2,156.2,53
Glenn County,1326.98,21.4,8.2
Humboldt County,4052.26,37.7,17.3
Imperial County,4481.72,41.8,13.4
Inyo County,10226.91,1.8,0.9
Kern County,8162.64,103.3,35
Kings County,1391.53,110.1,31.6
Lake County,1329.42,51.5,28.2
Lassen County,4720.12,7.7,2.8
Los Angeles County,4750.94,2419.6,849
Madera County,2153.27,70.6,23
Marin County,828.19,485.1,213.7
Mariposa County,1462.82,12.6,7
Mendocino County,3878.14,25.1,11.5
Merced County,1978.51,132.2,43.3
Modoc County,4203.4,2.5,1.3
Mono County,3131.88,4.7,4.6
Monterey County,3771.22,126.5,42.4
Napa County,788.58,182.4,73.2
Nevada County,973.8,103.1,54.9
Orange County,948.07,3807.7,1326.8
Placer County,1502.46,247.6,108.5
Plumas County,2613.43,7.8,6.1
Riverside County,7303.42,303.8,111.1
Sacramento County,994.02,1470.8,576.3
San Benito County,1390.47,39.8,12.9
San Bernardino County,20104.83,101.5,34.9
San Diego County,4525.68,735.8,276.9
San Francisco County,231.89,17179.2,8041.8
San Joaquin County,1426.5,492.6,168
San Luis Obispo County,3615.55,81.7,35.6
San Mateo County,740.96,1602.2,604.4
Santa Barbara County,3789.08,155,55.9
Santa Clara County,1304.07,1381,489.8
Santa Cruz County,607.17,589.4,234.7
Shasta County,3847.42,46.9,20.5
Sierra County,962.21,3.4,2.4
Siskiyou County,6347.34,7.2,3.8
Solano County,906.19,503,185.8
Sonoma County,1767.95,307.1,129.8
Stanislaus County,1514.69,344.2,120.1
Sutter County,608.49,157.3,56.2
Tehama County,2962.17,21.5,9.1
Trinity County,3207.6,4.3,2.7
Tulare County,4838.65,91.7,29.4
Tuolumne County,2274.43,24.9,14.1
Ventura County,2208.38,446.7,152.8
Yolo County,1023.56,197.9,74
Yuba County,643.81,114.2,43.7
Colorado,104093.67,48.5,21.4
Adams County,1183.9,378.2,139.7
Alamosa County,723.34,21.4,9.1
Arapahoe County,805.44,716.7,298.6
Archuleta County,1355.51,8.9,6.5
Baca County,2557.34,1.5,0.9
Bent County,1541.08,4.3,1.5
Boulder County,740.37,405.6,175
Broomfield County,33.6,1691.9,685.5
Chaffee County,1014.95,17.6,9.9
Cheyenne County,1781.43,1,0.5
Clear Creek County,396.49,23,14.4
Conejos County,1290.96,6.4,3.3
Costilla County,1230.36,2.9,2.1
Crowley County,800.33,7.4,2
Custer County,739.92,5.8,5.4
Delta County,1148.6,27.1,12.8
Denver County,154.63,3922.6,1868
Dolores County,1068.1,1.9,1.4
Douglas County,842.87,339.7,127.2
Eagle County,1691.79,31,18.6
Elbert County,1851.02,12.5,4.8
El Paso County,2129.55,292.6,118.9
Fremont County,1533.93,30.5,12.6
Garfield County,2955.84,19.1,7.9
Gilpin County,150.26,36.3,23.7
Grand County,1869.59,8,8.7
Gunnison County,3259.63,4.7,3.5
Hinsdale County,1123.17,0.8,1.2
Huerfano County,1593.24,4.2,3.2
Jackson County,1620.96,0.9,0.8
Jefferson County,774.03,699.5,300.9
Kiowa County,1785.93,0.8,0.5
Kit Carson County,2161.69,3.8,1.6
Lake County,383.91,19.4,11.3
La Plata County,1699.71,30.3,15.3
Larimer County,2633.95,115.4,51.1
Las Animas County,4775.35,3.2,1.7
Lincoln County,2586.42,2.1,0.9
Logan County,1844.86,12.4,4.9
Mesa County,3341.12,44.1,18.8
Mineral County,877.68,0.8,1.4
Moffat County,4750.91,2.9,1.3
Montezuma County,2040.15,12.6,6
Montrose County,2242.6,18.4,8.1
Morgan County,1293.74,22,9
Otero County,1269.7,14.9,7.1
Ouray County,542.21,8.2,5.7
Park County,2210.65,7.4,6.4
Phillips County,688.04,6.5,3
Pitkin County,973.2,17.7,13.3
Prowers County,1644.32,7.7,3.6
Pueblo County,2397.8,66.7,29.1
Rio Blanco County,3222.81,2.1,1
Rio Grande County,912.34,13.1,7.3
Routt County,2368.14,10,6.9
Saguache County,3170.24,1.9,1.2
San Juan County,388.27,1.8,2
San Miguel County,1288.62,5.7,5.2
Sedgwick County,549.4,4.3,2.6
Summit County,619.28,46,49.1
Teller County,558.96,41.9,22.7
Washington County,2523.9,1.9,1
Weld County,4016.8,63.4,24.1
Yuma County,2368.7,4.2,1.9
Connecticut,5543.41,738.1,307.3
Fairfield County,836.92,1467.2,578.1
Hartford County,750.62,1216.2,509.1
Litchfield County,944.56,206.3,95.1
Middlesex County,439.06,448.6,202.6
New Haven County,862.06,1426.7,598.8
New London County,771.7,412.2,182
Tolland County,417.05,372.2,141.3
Windham County,521.44,230.9,95.7
Delaware,2488.72,460.8,208.3
Kent County,798.33,276.9,111.5
New Castle County,494,1263.2,510.2
Sussex County,1196.39,210.6,131.4
District of Columbia,68.34,9856.5,4860.4
District of Columbia,68.34,9856.5,4860.4
Florida,65757.7,350.6,167.6
Alachua County,968.81,282.7,128.9
Baker County,588.97,46.3,16.6
Bay County,1033.15,222.6,131.4
Bradford County,300.49,97,37.5
Brevard County,1557,535,265.7
Broward County,1322.86,1444.9,669.9
Calhoun County,574.31,25.8,10.6
Charlotte County,858.3,235.2,147.9
Citrus County,773.29,242.8,134.1
Clay County,643.55,315.8,124.9
Collier County,2305.02,160.9,98.7
Columbia County,801.33,84.7,35.9
DeSoto County,639.48,54.7,22.9
Dixie County,863.65,23.3,13.2
Duval County,918.45,1133.9,509.7
Escambia County,874.7,453.4,208.2
Flagler County,570.82,197.1,100.1
Franklin County,1026.49,21.6,16.2
Gadsden County,528.53,89.8,37.8
Gilchrist County,355.24,48.4,20.9
Glades County,986.85,16,8.7
Gulf County,755.56,28.1,16.2
Hamilton County,519.06,28.8,11.2
Hardee County,638.34,43.5,15.2
Hendry County,1190,34,12.6
Hernando County,589.02,365.6,178.8
Highlands County,1106.03,97.2,54.5
Hillsborough County,1265.76,1204.9,525.5
Holmes County,489.05,41.6,18
Indian River County,617.01,274.5,151.8
Jackson County,954.56,54.2,22.9
Jefferson County,636.54,24.7,11.1
Lafayette County,547.91,16.3,6.1
Lake County,1156.96,316.6,154.5
Lee County,1212.46,788.7,473
Leon County,701.79,413.1,186.2
Levy County,1412.79,36.5,18
Liberty County,843.12,10,4
Madison County,715.68,27.6,12.2
Manatee County,892.68,434.5,232.4
Marion County,1662.61,209.1,103.5
Martin County,752.83,269.2,143.8
Miami-Dade County,2431.18,1315.5,521.4
Monroe County,3737.52,74.3,53.7
Nassau County,725.92,113,54
Okaloosa County,1082.08,194.4,99.3
Okeechobee County,891.91,52,24.1
Orange County,1003.26,1268.5,540
Osceola County,1505.91,202.4,96.6
Palm Beach County,2383.01,670.2,337.4
Pasco County,868.45,622.2,306.5
Pinellas County,608.13,3347.5,1839.4
Polk County,2010.55,334.9,156.4
Putnam County,826.92,102.2,51.3
St. Johns County,821.53,316.4,149.6
St. Lucie County,688.11,485.7,239.6
Santa Rosa County,1173.78,149.6,64
Sarasota County,725.34,682.6,410.9
Seminole County,345.29,1367,586.3
Sumter County,579.83,170.8,97
Suwannee County,692.26,60.3,27.8
Taylor County,1232.2,21.6,10.5
Union County,249.75,63.8,18.5
Volusia County,1432.44,449.2,230.9
Wakulla County,735.73,50.8,21.1
Walton County,1239.59,53,43.5
Washington County,615.95,42.7,18.5
Georgia,59425.15,168.4,71.1
Appling County,512.26,36,16.8
Atkinson County,344.53,24.7,10.4
Bacon County,285.82,42.9,18.6
Baker County,349.14,10.1,4.8
Baldwin County,267.41,177.3,78.2
Banks County,233.89,79.3,32.7
Barrow County,162.94,432.7,164.7
Bartow County,470.11,217.9,86.7
Ben Hill County,253.91,70.5,31.8
Berrien County,457.88,42.7,19.3
Bibb County,255.37,622.8,278.9
Bleckley County,219.13,60.5,24.6
Brantley County,447.2,41.6,18.3
Brooks County,497.8,32.9,15.6
Bryan County,454.46,69.3,27.2
Bulloch County,688.63,104.4,42.8
Burke County,834.98,28.2,11.9
Butts County,188.04,128.3,50.7
Calhoun County,283.58,23.9,8.6
Camden County,781.86,82.4,34.4
Candler County,248.86,45.3,19.6
Carroll County,503.84,221.5,89.4
Catoosa County,162.46,394.3,164.1
Charlton County,782.37,15.7,5.8
Chatham County,632.26,621.7,279.8
Chattahoochee County,251.17,45.3,13.6
Chattooga County,313.56,83,35
Cherokee County,434.41,508.3,195.3
Clarke County,121.04,979.1,428.4
Clay County,217.23,16.3,10.8
Clayton County,144.33,1832.5,739.6
Clinch County,823.99,8.5,3.8
Cobb County,344.52,2026.4,843.7
Coffee County,602.65,73.7,29.7
Colquitt County,556.64,83.6,33.7
Columbia County,307.6,427.6,167.6
Cook County,233.2,75.8,32.1
Coweta County,445.82,288.8,113.8
Crawford County,326.45,38.9,16.3
Crisp County,280.95,86,39.4
