ID,ID2,Rank,City,2010 Census,2011_Estimate,2012_Estimate,2013_Estimate,2014_Estimate,2015_Estimate,2016_Estimate,2017_Estimate,2018_Estimate
1620000US3651000,3651000,1,New York City,8175133,8272963,8348032,8398739,8437387,8468181,8475976,8438271,8398748
1620000US0644000,644000,2,Los Angeles,3792621,3821136,3852532,3883916,3913260,3943215,3969262,3982002,3990456
1620000US1714000,1714000,3,Chicago,2695598,2708209,2719735,2726772,2728524,2726215,2718946,2713067,2705994
1620000US4835000,4835000,4,Houston,2099451,2124143,2160086,2198280,2240982,2286630,2309752,2317445,2325502
1620000US0455000,455000,5,Phoenix,1445632,1470052,1499839,1527336,1556552,1584927,1613581,1634984,1660272
1620000US4260000,4260000,6,Philadelphia,1526006,1540322,1551797,1558371,1565604,1571258,1576390,1580221,1584138
1620000US4865000,4865000,7,San Antonio,1327407,1357536,1383608,1408787,1435839,1464531,1488512,1511409,1532233
1620000US0666000,666000,8,San Diego,1307402,1319697,1337149,1355951,1376725,1388674,1403865,1414427,1425976
1620000US4819000,4819000,9,Dallas,1197816,1218320,1242344,1259239,1279679,1301794,1324477,1343087,1345047
1620000US0668000,668000,10,San Jose,945942,969948,983322,1001253,1014418,1026099,1030359,1032136,1030119
1620000US4805000,4805000,11,Austin,790390,828694,854841,875463,901734,921545,939768,951750,964254
1620000US1235000,1235000,12,Jacksonville,821784,829554,836997,842762,852560,865835,880495,891736,903889
1620000US4827000,4827000,13,Fort Worth,741206,764034,781059,796175,815135,835950,856902,875456,895008
1620000US3918000,3918000,14,Columbus,787033,800522,812711,827824,841740,855012,866918,881763,892533
1620000US0667000,667000,15,San Francisco,805235,815677,829027,839841,851116,863836,872795,879166,883305
1620000US3712000,3712000,16,Charlotte,731424,754840,773336,792183,807589,825733,842937,859347,872498
1620000US1836003,1836003,17,Indianapolis,820445,827604,835379,844081,849634,853238,857488,861890,867125
1620000US5363000,5363000,18,Seattle,608660,623050,636495,654224,670925,688156,710510,729601,744955
1620000US0820000,820000,19,Denver,600158,620513,635277,649513,664870,683665,696618,705439,716492
1620000US1150000,1150000,20,Washington,601723,619602,634725,650431,662513,675254,686575,695691,702455
1620000US2507000,2507000,21,Boston,617594,630480,643003,653103,663017,670791,680470,688276,694583
1620000US4824000,4824000,22,El Paso,649121,664521,675205,675222,677745,677253,681485,682938,682669
1620000US2622000,2622000,23,Detroit,713777,705043,700159,691883,682669,679305,676883,674188,672662
1620000US4752006,4752006,24,Nashville,601222,612422,625601,636267,645820,656572,663339,665396,669053
1620000US4159000,4159000,25,Portland,583776,595410,604285,609970,620647,631539,643136,648630,653115
1620000US4748000,4748000,26,Memphis,646889,655590,659089,657877,655936,654876,653184,651562,650618
1620000US4055000,4055000,27,Oklahoma City,579999,590824,601030,611999,621583,632193,640144,643337,649021
1620000US3240000,3240000,28,Las Vegas,583756,586635,593411,599777,608275,617840,626950,635628,644644
1620000US2148006,2148006,29,Louisville,597337,599637,604110,610339,612509,615247,617462,619848,620118
1620000US2404000,2404000,30,Baltimore,620961,620442,622973,622497,623165,622150,615849,609841,602495
1620000US5553000,5553000,31,Milwaukee,594833,597056,598581,599965,600743,600627,597123,593905,592025
1620000US3502000,3502000,32,Albuquerque,545852,552095,555106,557619,557702,558325,559626,560111,560218
1620000US0477000,477000,33,Tucson,520116,530624,531817,532956,534870,535772,537831,541779,545975
1620000US0627000,627000,34,Fresno,494665,501413,505521,509104,514452,518670,521986,526037,530093
1620000US0446000,446000,35,Mesa,439041,447681,457061,464980,473390,482108,491041,500395,508958
1620000US0664000,664000,36,Sacramento,466488,470914,474309,478360,483006,488353,494324,500944,508529
1620000US1304000,1304000,37,Atlanta,420003,437563,448799,453791,460998,468707,478916,491763,498044
1620000US2938000,2938000,38,Kansas City,459787,462356,464607,467243,470678,475069,481626,488266,491918
1620000US0816000,816000,39,Colorado Springs,416427,427248,432611,437981,441960,449189,458531,465160,472688
1620000US1245000,1245000,40,Miami,399457,410673,415270,419829,429365,439404,454293,462030,470914
1620000US3755000,3755000,41,Raleigh,403892,413932,423095,431102,439347,449427,459194,465524,469298
1620000US3137000,3137000,42,Omaha,408958,453217,456338,459091,461386,463472,465554,466774,468262
1620000US0643000,643000,43,Long Beach,462257,464569,467064,468303,469539,470708,469435,467367,467354
1620000US5182000,5182000,44,Virginia Beach,437994,442536,445038,447732,448913,450474,451136,449962,450189
1620000US0653000,653000,45,Oakland,390724,396135,401228,406844,413156,418263,420798,423869,429082
1620000US2743000,2743000,46,Minneapolis,382578,388022,392775,400108,407122,411150,415239,421072,425403
1620000US4075000,4075000,47,Tulsa,391906,393111,394875,398649,400162,403733,404182,402119,400669
1620000US4804000,4804000,48,Arlington,365438,370485,375906,379266,383074,389101,394780,397105,398112
1620000US1271000,1271000,49,Tampa,335709,346778,348655,352426,358754,367413,376170,386577,392890
1620000US2255000,2255000,50,New Orleans,343829,360686,369761,378623,383930,389791,391977,391538,391006
1620000US2079000,2079000,51,Wichita,382368,383729,385753,387240,388465,389437,390549,390307,389255
1620000US3916000,3916000,52,Cleveland,396815,392594,391500,391759,390850,389248,387708,385428,383793
1620000US0603526,603526,53,Bakersfield,347483,353640,357858,363449,367705,372295,375844,379171,383579
1620000US0804000,804000,54,Aurora,325078,332627,339080,345276,352391,359679,362941,367255,374114
1620000US0602000,602000,55,Anaheim,336265,340202,342526,344369,345223,348967,350848,351301,352005
1620000US1571550,1571550,56,Honolulu,337256,343040,346868,349275,349627,351684,351883,349651,347397
1620000US0669000,669000,57,Santa Ana,324528,328255,330650,333887,333669,333736,334175,333007,332725
1620000US0662000,662000,58,Riverside,303871,309556,312432,315667,317887,320673,323877,326988,330063
1620000US4817000,4817000,59,Corpus Christi,305215,308096,312415,317101,320863,324795,325947,325373,326554
