Rank,City,2010 Census,State,Persons by km2,Latitude,Longitude
1,New York City,8175133,NY,13401.8,40.6943,-73.9249
2,Los Angeles,3792621,CA,3295,34.1139,-118.4068
3,Chicago,2695598,IL,4612,41.8373,-87.6862
4,Houston,2099451,TX,1401,29.7869,-95.3905
5,Phoenix,1445632,AZ,1212,33.5722,-112.0891
6,Philadelphia,1526006,PA,4547,40.0077,-75.1339
7,San Antonio,1327407,TX,1204,29.4658,-98.5254
8,San Diego,1307402,CA,1683,32.8312,-117.1225
9,Dallas,1197816,TX,1524,32.7936,-96.7662
10,San Jose,945942,CA,2257,37.3021,-121.8489
11,Austin,790390,TX,1144,30.3006,-97.7517
12,Jacksonville,821784,FL,460,30.3322,-81.6749
13,Fort Worth,741206,TX,978,32.7812,-97.3472
14,Columbus,787033,OH,1551,39.986,-82.9851
15,San Francisco,805235,CA,7286,37.7562,-122.443
16,Charlotte,731424,NC,1081,35.2079,-80.8304
17,Indianapolis,820445,IN,921,39.7771,-86.1458
18,Seattle,608660,WA,3336,47.6211,-122.3244
19,Denver,600158,CO,1774,39.7621,-104.8759
20,Washington,601723,DC,4382,38.9047,-77.0163
21,Boston,617594,MA,5472,42.3188,-71.0846
22,El Paso,649121,TX,1025,31.8479,-106.4309
23,Detroit,713777,MI,1873,42.3834,-83.1024
24,Nashville,601222,TN,541,36.1715,-86.7843
25,Portland,583776,OR,1874,45.5371,-122.65
26,Memphis,646889,TN,793,35.1046,-89.9773
27,Oklahoma City,579999,OK,409,35.4676,-97.5137
28,Las Vegas,583756,NV,1747,36.2333,-115.2654
29,Louisville,597337,KY,910,38.1663,-85.6485
30,Baltimore,620961,MD,2917,39.3051,-76.6144
31,Milwaukee,594833,WI,2389,43.0642,-87.9673
32,Albuquerque,545852,NM,1151,35.1053,-106.6464
33,Tucson,520116,AZ,868,32.1545,-110.8782
34,Fresno,494665,CA,1781,36.7831,-119.794
35,Mesa,439041,AZ,1388,33.4017,-111.7181
36,Sacramento,466488,CA,1980,38.5667,-121.4683
37,Atlanta,420003,GA,1384,33.7627,-84.4225
38,Kansas City,459787,MO,599,39.1239,-94.5541
39,Colorado Springs,416427,CO,919,38.8674,-104.7606
40,Miami,399457,FL,4969,25.7839,-80.2102
41,Raleigh,403892,NC,1235,35.8324,-78.6438
42,Omaha,408958,NE,1304,41.2628,-96.0498
43,Long Beach,462257,CA,3575,33.798,-118.1675
44,Virginia Beach,437994,VA,710,36.7335,-76.0435
45,Oakland,390724,CA,2937,37.7903,-122.2165
46,Minneapolis,382578,MN,3019,44.9635,-93.2678
47,Tulsa,391906,OK,785,36.1284,-95.9043
48,Arlington,365438,TX,1597,32.6998,-97.1251
49,Tampa,335709,FL,1305,27.9942,-82.4451
50,New Orleans,343829,LA,896,30.0687,-89.9288
51,Wichita,382368,KS,935,37.6897,-97.3441
52,Cleveland,396815,OH,1915,41.4767,-81.6805
53,Bakersfield,347483,CA,982,35.353,-119.0359
54,Aurora,325078,CO,921,39.7084,-104.7274
55,Anaheim,336265,CA,2704,33.839,-117.8573
56,Honolulu,337256,HI,2234,21.3294,-157.846
57,Santa Ana,324528,CA,4715,33.7366,-117.8819
58,Riverside,303871,CA,1557,33.9381,-117.3948
59,Corpus Christi,305215,TX,787,27.7261,-97.3755
60,Lexington,295803,KY,438,38.0423,-84.4587
61,Stockton,291707,CA,1943,37.9766,-121.3111
62,Henderson,257729,NV,1115,36.0146,-115.0362
63,St. Paul,285068,MN,2277,44.9477,-93.104
64,St. Louis,319294,MO,1929,38.6358,-90.2451
65,Cincinnati,296943,OH,1493,39.1412,-84.506
66,Pittsburgh,305704,PA,2108,40.4396,-79.9763
67,Greensboro,269666,NC,869,36.0956,-79.8268
68,Anchorage,291826,AK,66,61.1508,-149.1091
69,Plano,259841,TX,1541,33.0502,-96.7487
70,Lincoln,258379,NE,1159,40.8088,-96.6796
71,Orlando,238300,FL,982,28.4772,-81.3369
72,Irvine,212375,CA,1633,33.6772,-117.774
73,Newark,277140,NJ,4560,40.7245,-74.1725
74,Toledo,287208,OH,1326,41.6639,-83.5822
75,Durham,228330,NC,921,35.9795,-78.9032
76,Chula Vista,243916,CA,2104,32.6281,-117.015
77,Fort Wayne,253691,IN,928,41.0885,-85.1436
78,Jersey City,247597,NJ,7090,40.7161,-74.0683
79,St. Petersburg,244769,FL,1643,27.793,-82.6652
80,Laredo,236091,TX,965,27.5617,-99.4874
81,Madison,233209,WI,1250,43.0827,-89.3923
82,Chandler,236123,AZ,1505,33.2827,-111.852
83,Buffalo,261310,NY,2472,42.9017,-78.8487
84,Lubbock,229573,TX,767,33.5642,-101.887
85,Scottsdale,217385,AZ,524,33.6872,-111.8651
86,Reno,225221,NV,884,39.5497,-119.8483
87,Glendale,226721,AZ,1601,33.5797,-112.226
88,Gilbert,208453,AZ,1374,33.3103,-111.7463
89,Winston-Salem,229617,NC,712,36.1029,-80.261
90,North Las Vegas,216961,NV,957,36.288,-115.09
91,Norfolk,242803,VA,1773,36.8945,-76.259
92,Chesapeake,222209,VA,274,36.6778,-76.3024
93,Garland,226876,TX,1610,32.91,-96.6305
94,Irving,216290,TX,1384,32.8584,-96.9702
95,Hialeah,224669,FL,4317,25.8696,-80.3046
96,Fremont,214089,CA,1171,37.5265,-121.9852
97,Boise City,205671,ID,1045,43.6007,-116.2312
98,Richmond,204214,VA,1463,37.5295,-77.4756
99,Baton Rouge,229493,LA,1006,30.4419,-91.131
100,Spokane,208916,WA,1218,47.6671,-117.433
