Rank,City,2010 Census,State,Persons by km2
1,New York City,8175133,NY,13401.8
2,Los Angeles,3792621,CA,3295.0
3,Chicago,2695598,IL,4612.0
4,Houston,2099451,TX,1401.0
5,Phoenix,1445632,AZ,1212.0
6,Philadelphia,1526006,PA,4547.0
7,San Antonio,1327407,TX,1204.0
8,San Diego,1307402,CA,1683.0
9,Dallas,1197816,TX,1524.0
10,San Jose,945942,CA,2257.0
11,Austin,790390,TX,1144.0
12,Jacksonville,821784,FL,460.0
13,Fort Worth,741206,TX,978.0
14,Columbus,787033,OH,1551.0
15,San Francisco,805235,CA,7286.0
16,Charlotte,731424,NC,1081.0
17,Indianapolis,820445,IN,921.0
18,Seattle,608660,WA,3336.0
19,Denver,600158,CO,1774.0
20,Washington,601723,DC,4382.0
21,Boston,617594,MA,5472.0
22,El Paso,649121,TX,1025.0
23,Detroit,713777,MI,1873.0
24,Nashville,601222,TN,541.0
25,Portland,583776,OR,1874.0
26,Memphis,646889,TN,793.0
27,Oklahoma City,579999,OK,409.0
28,Las Vegas,583756,NV,1747.0
29,Louisville,597337,KY,910.0
30,Baltimore,620961,MD,2917.0
31,Milwaukee,594833,WI,2389.0
32,Albuquerque,545852,NM,1151.0
33,Tucson,520116,AZ,868.0
34,Fresno,494665,CA,1781.0
35,Mesa,439041,AZ,1388.0
36,Sacramento,466488,CA,1980.0
37,Atlanta,420003,GA,1384.0
38,Kansas City,459787,MO,599.0
39,Colorado Springs,416427,CO,919.0
40,Miami,399457,FL,4969.0
41,Raleigh,403892,NC,1235.0
42,Omaha,408958,NE,1304.0
43,Long Beach,462257,CA,3575.0
44,Virginia Beach,437994,VA,710.0
45,Oakland,390724,CA,2937.0
46,Minneapolis,382578,MN,3019.0
47,Tulsa,391906,OK,785.0
48,Arlington,365438,TX,1597.0
49,Tampa,335709,FL,1305.0
50,New Orleans,343829,LA,896.0
51,Wichita,382368,KS,935.0
52,Cleveland,396815,OH,1915.0
53,Bakersfield,347483,CA,982.0
54,Aurora,325078,CO,921.0
55,Anaheim,336265,CA,2704.0
56,Honolulu,337256,HI,2234.0
57,Santa Ana,324528,CA,4715.0
58,Riverside,303871,CA,1557.0
59,Corpus Christi,305215,TX,787.0
60,Lexington,295803,KY,438.0
61,Stockton,291707,CA,1943.0
62,Henderson,257729,NV,1115.0
63,St. Paul,285068,MN,2277.0
64,St. Louis,319294,MO,1929.0
65,Cincinnati,296943,OH,1493.0
66,Pittsburgh,305704,PA,2108.0
67,Greensboro,269666,NC,869.0
68,Anchorage,291826,AK,66.0
69,Plano,259841,TX,1541.0
70,Lincoln,258379,NE,1159.0
71,Orlando,238300,FL,982.0
72,Irvine,212375,CA,1633.0
73,Newark,277140,NJ,4560.0
74,Toledo,287208,OH,1326.0
75,Durham,228330,NC,921.0
76,Chula Vista,243916,CA,2104.0
77,Fort Wayne,253691,IN,928.0
78,Jersey City,247597,NJ,7090.0
79,St. Petersburg,244769,FL,1643.0
80,Laredo,236091,TX,965.0
81,Madison,233209,WI,1250.0
82,Chandler,236123,AZ,1505.0
83,Buffalo,261310,NY,2472.0
84,Lubbock,229573,TX,767.0
85,Scottsdale,217385,AZ,524.0
86,Reno,225221,NV,884.0
87,Glendale,226721,AZ,1601.0
88,Gilbert,208453,AZ,1374.0
89,Winston-Salem,229617,NC,712.0
90,North Las Vegas,216961,NV,957.0
91,Norfolk,242803,VA,1773.0
92,Chesapeake,222209,VA,274.0
93,Garland,226876,TX,1610.0
94,Irving,216290,TX,1384.0
95,Hialeah,224669,FL,4317.0
96,Fremont,214089,CA,1171.0
97,Boise City,205671,ID,1045.0
98,Richmond,204214,VA,1463.0
99,Baton Rouge,229493,LA,1006.0
100,Spokane,208916,WA,1218.0
