City,State,id,Estimate!!Total,Estimate!!Total!!No vehicle available,Estimate!!Total!!1 vehicle available,Estimate!!Total!!2 vehicles available,Estimate!!Total!!3 or more vehicles available,"Estimate!!Total!!Car, truck, or van - drove alone","Estimate!!Total!!Car, truck, or van - drove alone!!No vehicle available","Estimate!!Total!!Car, truck, or van - drove alone!!1 vehicle available","Estimate!!Total!!Car, truck, or van - drove alone!!2 vehicles available","Estimate!!Total!!Car, truck, or van - drove alone!!3 or more vehicles available","Estimate!!Total!!Car, truck, or van - carpooled","Estimate!!Total!!Car, truck, or van - carpooled!!No vehicle available","Estimate!!Total!!Car, truck, or van - carpooled!!1 vehicle available","Estimate!!Total!!Car, truck, or van - carpooled!!2 vehicles available","Estimate!!Total!!Car, truck, or van - carpooled!!3 or more vehicles available",Estimate!!Total!!Public transportation (excluding taxicab),Estimate!!Total!!Public transportation (excluding taxicab)!!No vehicle available,Estimate!!Total!!Public transportation (excluding taxicab)!!1 vehicle available,Estimate!!Total!!Public transportation (excluding taxicab)!!2 vehicles available,Estimate!!Total!!Public transportation (excluding taxicab)!!3 or more vehicles available,Estimate!!Total!!Walked,Estimate!!Total!!Walked!!No vehicle available,Estimate!!Total!!Walked!!1 vehicle available,Estimate!!Total!!Walked!!2 vehicles available,Estimate!!Total!!Walked!!3 or more vehicles available,"Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!No vehicle available","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!1 vehicle available","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!2 vehicles available","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!3 or more vehicles available",Estimate!!Total!!Worked at home,Estimate!!Total!!Worked at home!!No vehicle available,Estimate!!Total!!Worked at home!!1 vehicle available,Estimate!!Total!!Worked at home!!2 vehicles available,Estimate!!Total!!Worked at home!!3 or more vehicles available
Albuquerque, New Mexico,1600000US3502000,260983,5348,64658,110149,80828,206790,1921,46898,90424,67547,26494,636,8666,10085,7107,4473,1193,1365,947,968,5525,532,2997,1456,540,4695,505,1461,1954,775,13006,561,3271,5283,3891
Anaheim, California,1600000US0602000,171612,2858,27676,62301,78777,132203,1337,17459,50600,62807,19836,335,4305,6414,8782,5340,580,1857,1200,1703,3788,536,1135,680,1437,3215,70,951,777,1417,7230,0,1969,2630,2631
Anchorage, Alaska,1600000US0203000,149885,4662,29856,69763,45604,115862,1821,22099,55518,36424,16620,46,3808,9034,3732,2899,977,872,749,301,4198,757,1255,1312,874,4915,1061,569,1574,1711,5391,0,1253,1576,2562
Arlington, Virginia,1600000US5103000,148461,11411,60244,55201,21605,78693,883,28800,33980,15030,9042,790,3159,3770,1323,39529,7605,19092,10076,2756,7458,1094,3789,1893,682,3833,368,1510,1452,503,9906,671,3894,4030,1311
Arlington, Texas,1600000US4804000,191798,2542,36934,80618,71704,157852,1401,29161,68106,59184,22249,455,4381,7713,9700,318,0,0,235,83,2090,287,1070,469,264,1537,347,396,519,275,7752,52,1926,3576,2198
Arlington, Illinois,1600000US1702154,40231,377,7220,22516,10118,30826,140,5046,17122,8518,2225,72,240,1534,379,2754,93,733,1285,643,546,0,41,464,41,888,72,438,178,200,2992,0,722,1933,337
Atlanta, Georgia,1600000US1304000,244022,22323,79596,102028,40075,165800,2154,55076,79808,28762,17228,1295,4288,7376,4269,26886,14451,6731,3763,1941,8299,2286,3684,1774,555,8425,1517,3355,1871,1682,17384,620,6462,7436,2866
Aurora, Colorado,1600000US0804000,192315,5485,34315,83497,69018,146675,975,24453,67062,54185,18997,553,3953,7129,7362,10419,3269,2924,2208,2018,2838,473,979,693,693,2189,0,239,1243,707,11197,215,1767,5162,4053
Austin, Texas,1600000US4805000,535728,19870,144780,248739,122339,397638,6874,104487,192202,94075,49533,1812,11239,20940,15542,17938,6124,6493,3817,1504,11934,2449,4094,4090,1301,11746,1734,3973,3992,2047,46939,877,14494,23698,7870
Bakersfield, California,1600000US0603526,152143,3914,26721,66017,55491,124483,1880,21625,56054,44924,16519,425,2650,5656,7788,1728,730,481,361,156,1098,549,260,147,142,3163,330,1047,1615,171,5152,0,658,2184,2310
