city,state_id,county_name,population,density,zips
South Creek,WA,Pierce,2500,125,98580 98387 98338
Roslyn,WA,Kittitas,947,84,98941 98068 98925
Sprague,WA,Lincoln,441,163,99032
Gig Harbor,WA,Pierce,9507,622,98332 98335
Lake Cassidy,WA,Snohomish,3591,131,98223 98258 98270
Tenino,WA,Thurston,1830,491,98589
Jamestown,WA,Clallam,289,191,98382
Three Lakes,WA,Snohomish,3390,112,98290
Curlew Lake,WA,Ferry,573,50,99166
Chain Lake,WA,Snohomish,4280,156,98290
Pateros,WA,Okanogan,701,536,98846
Rosburg,WA,Wahkiakum,385,6,98643
Parkland,WA,Pierce,37019,1653,98444 98445 98447 98448
Birch Bay,WA,Whatcom,8642,208,98230
Ashford,WA,Pierce,162,30,98304
Navy Yard City,WA,Kitsap,3154,1978,98312
Omak,WA,Okanogan,8130,478,98841
Farmington,WA,Whitman,154,164,99128
Buckley,WA,Pierce,4819,482,98321
Cathcart,WA,Snohomish,2506,250,98296
Poulsbo,WA,Kitsap,10670,869,98370
Anacortes,WA,Skagit,17955,559,98221
Maplewood,WA,Pierce,5340,248,98332
Creston,WA,Lincoln,226,212,99117
Rockford,WA,Spokane,477,271,99030
Wishram,WA,Klickitat,438,131,98673
Centralia,WA,Lewis,41643,883,98531
South Hill,WA,Pierce,56379,1185,98375 98374 98373
Longview Heights,WA,Cowlitz,3678,337,98632
Erlands Point-Kitsap Lake,WA,Kitsap,2973,655,98312
Amboy,WA,Clark,2027,78,98601 98675
St. John,WA,Whitman,561,322,99171
Dallesport,WA,Klickitat,1739,99,98617 98635
Ketron Island,WA,Pierce,0,0,98388
Mesa,WA,Franklin,503,119,99326 99343
Fife,WA,Pierce,10154,684,98424
Moses Lake North,WA,Grant,3787,264,98837
Chewelah,WA,Stevens,2637,341,99109
Grayland,WA,Grays Harbor,756,42,98547
Kittitas,WA,Kittitas,1491,729,98934 98926
Camano,WA,Island,15989,155,98282
Monroe North,WA,Snohomish,1704,282,98290 98272
North Bonneville,WA,Skamania,999,154,98648 98639
Klickitat,WA,Klickitat,358,147,98628
Loon Lake,WA,Stevens,784,92,99148
Newport,WA,Pend Oreille,2635,624,99156
Mead,WA,Spokane,6859,364,99021
Cashmere,WA,Chelan,4864,1061,98815
Aberdeen Gardens,WA,Grays Harbor,283,67,98520
Ocean Shores,WA,Grays Harbor,5553,268,98569
Basin City,WA,Franklin,1281,155,99343
Wilkeson,WA,Pierce,507,420,98396
Meadow Glade,WA,Clark,2895,307,98604
Arlington Heights,WA,Snohomish,2826,129,98223
Uniontown,WA,Whitman,343,143,99179
Oakesdale,WA,Whitman,442,164,99158
West Side Highway,WA,Cowlitz,5902,901,98626 98632
Conconully,WA,Okanogan,208,300,98819
Latah,WA,Spokane,187,225,99018
Elma,WA,Grays Harbor,3092,468,98541
Tieton,WA,Yakima,1294,570,98947
Southworth,WA,Kitsap,2280,260,98366 98384 98386
Danville,WA,Ferry,19,41,99121
Toppenish,WA,Yakima,14441,1627,98948
River Road,WA,Clallam,952,1055,98382
Geneva,WA,Whatcom,2632,958,98229
Yakima,WA,Yakima,133233,1302,98901 98903 98902 98908 98904 98907
Moxee,WA,Yakima,4032,670,98936 98901
Edmonds,WA,Snohomish,42209,1829,98026 98020
Kalama,WA,Cowlitz,3794,297,98625
Laurier,WA,Ferry,0,0,99146
Vashon,WA,King,9635,100,98070 98013
Country Homes,WA,Spokane,5730,1339,99208 99218 99251
Darrington,WA,Snohomish,1406,306,98241
Metaline Falls,WA,Pend Oreille,245,446,99153
Lyle,WA,Klickitat,548,299,98635
Cascade Valley,WA,Grant,1797,232,98837
Spangle,WA,Spokane,307,339,99031
Methow,WA,Okanogan,78,44,98834
Waterville,WA,Douglas,1198,533,98858
Lake Roesiger,WA,Snohomish,657,64,98290
Milton,WA,Pierce,8230,1185,98003 98354
Krupp,WA,Grant,50,32,98832
Alderton,WA,Pierce,3303,240,98390 98372 98374
